time_iso8601,forks_cumulative
2023-08-02 00:00:00+00:00,2
2023-08-03 00:00:00+00:00,3
2023-08-04 00:00:00+00:00,4
2023-08-05 00:00:00+00:00,6
2023-08-08 00:00:00+00:00,7
2023-08-11 00:00:00+00:00,8
2023-08-15 00:00:00+00:00,9
2023-08-16 00:00:00+00:00,10
2023-08-20 00:00:00+00:00,11
2023-08-23 00:00:00+00:00,12
2023-08-26 00:00:00+00:00,14
2023-09-05 00:00:00+00:00,15
2023-09-09 00:00:00+00:00,16
2023-09-17 00:00:00+00:00,17
2023-09-18 00:00:00+00:00,18
2023-09-19 00:00:00+00:00,19
2023-09-20 00:00:00+00:00,20
2023-09-21 00:00:00+00:00,21
2023-09-26 00:00:00+00:00,23
2023-09-27 00:00:00+00:00,24
2023-09-30 00:00:00+00:00,25
2023-10-04 00:00:00+00:00,26
2023-10-09 00:00:00+00:00,27
2023-10-10 00:00:00+00:00,28
2023-10-14 00:00:00+00:00,29
2023-10-15 00:00:00+00:00,30
2023-10-25 00:00:00+00:00,32
2023-10-30 00:00:00+00:00,33
2023-10-31 00:00:00+00:00,38
2023-11-02 00:00:00+00:00,39
2023-11-03 00:00:00+00:00,40
2023-11-06 00:00:00+00:00,41
2023-11-08 00:00:00+00:00,42
2023-11-09 00:00:00+00:00,43
2023-11-13 00:00:00+00:00,44
2023-11-14 00:00:00+00:00,45
2023-11-16 00:00:00+00:00,46
2023-11-18 00:00:00+00:00,47
2023-11-25 00:00:00+00:00,48
2023-12-01 00:00:00+00:00,49
2023-12-05 00:00:00+00:00,61
2023-12-06 00:00:00+00:00,67
2023-12-07 00:00:00+00:00,100
2023-12-08 00:00:00+00:00,184
2023-12-09 00:00:00+00:00,242
2023-12-10 00:00:00+00:00,327
2023-12-11 00:00:00+00:00,390
2023-12-12 00:00:00+00:00,405
2023-12-13 00:00:00+00:00,412
2023-12-14 00:00:00+00:00,416
2023-12-15 00:00:00+00:00,418
2023-12-16 00:00:00+00:00,422
2023-12-18 00:00:00+00:00,426
2023-12-19 00:00:00+00:00,428
2023-12-20 00:00:00+00:00,433
2023-12-21 00:00:00+00:00,437
2023-12-22 00:00:00+00:00,440
2023-12-23 00:00:00+00:00,442
2023-12-24 00:00:00+00:00,445
2023-12-25 00:00:00+00:00,452
2023-12-26 00:00:00+00:00,453
2023-12-27 00:00:00+00:00,456
2023-12-28 00:00:00+00:00,459
2023-12-29 00:00:00+00:00,460
2023-12-30 00:00:00+00:00,462
2023-12-31 00:00:00+00:00,465
2024-01-02 00:00:00+00:00,467
2024-01-03 00:00:00+00:00,468
2024-01-04 00:00:00+00:00,471
2024-01-05 00:00:00+00:00,475
2024-01-09 00:00:00+00:00,476
2024-01-10 00:00:00+00:00,479
2024-01-12 00:00:00+00:00,480
2024-01-13 00:00:00+00:00,481
2024-01-15 00:00:00+00:00,482
2024-01-19 00:00:00+00:00,483
2024-01-21 00:00:00+00:00,484
2024-01-22 00:00:00+00:00,485
2024-01-23 00:00:00+00:00,486
2024-01-24 00:00:00+00:00,487
2024-01-25 00:00:00+00:00,489
2024-01-27 00:00:00+00:00,490
2024-01-30 00:00:00+00:00,494
2024-01-31 00:00:00+00:00,500
2024-02-02 00:00:00+00:00,503
2024-02-03 00:00:00+00:00,504
2024-02-04 00:00:00+00:00,506
2024-02-06 00:00:00+00:00,507
2024-02-13 00:00:00+00:00,511
2024-02-15 00:00:00+00:00,513
2024-02-18 00:00:00+00:00,514
2024-02-20 00:00:00+00:00,515
2024-02-22 00:00:00+00:00,516
2024-02-23 00:00:00+00:00,517
2024-03-01 00:00:00+00:00,518
2024-03-04 00:00:00+00:00,519
2024-03-05 00:00:00+00:00,520
2024-03-08 00:00:00+00:00,521
2024-03-14 00:00:00+00:00,522
2024-03-15 00:00:00+00:00,523
2024-03-16 00:00:00+00:00,524
2024-03-17 00:00:00+00:00,525
2024-03-21 00:00:00+00:00,526
2024-03-22 00:00:00+00:00,528
2024-03-23 00:00:00+00:00,529
2024-03-25 00:00:00+00:00,532
2024-03-26 00:00:00+00:00,533
2024-03-28 00:00:00+00:00,534
2024-03-29 00:00:00+00:00,535
2024-04-02 00:00:00+00:00,536
2024-04-05 00:00:00+00:00,537
2024-04-06 00:00:00+00:00,538
2024-04-09 00:00:00+00:00,539
2024-04-12 00:00:00+00:00,541
2024-04-14 00:00:00+00:00,542
2024-04-19 00:00:00+00:00,543
2024-04-23 00:00:00+00:00,544
2024-04-27 00:00:00+00:00,545
2024-04-30 00:00:00+00:00,546
2024-05-02 00:00:00+00:00,547
2024-05-03 00:00:00+00:00,548
