time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-02 00:00:00+00:00,20,7,86,34
2025-02-03 00:00:00+00:00,54,10,154,42
2025-02-04 00:00:00+00:00,8,6,105,46
2025-02-05 00:00:00+00:00,20,12,100,50
2025-02-06 00:00:00+00:00,20,11,89,45
2025-02-07 00:00:00+00:00,15,5,123,45
2025-02-08 00:00:00+00:00,39,7,125,20
2025-02-09 00:00:00+00:00,1,1,43,26
2025-02-10 00:00:00+00:00,22,12,123,49
2025-02-11 00:00:00+00:00,95,13,179,45
2025-02-12 00:00:00+00:00,9,6,87,43
2025-02-13 00:00:00+00:00,12,9,115,32
2025-02-14 00:00:00+00:00,91,5,152,48
2025-02-15 00:00:00+00:00,3,3,47,26
