time_iso8601,stars_cumulative
2023-08-02 00:00:00+00:00,8
2023-08-03 00:00:00+00:00,9
2023-08-04 00:00:00+00:00,11
2023-08-05 00:00:00+00:00,12
2023-08-08 00:00:00+00:00,13
2023-08-09 00:00:00+00:00,14
2023-08-11 00:00:00+00:00,16
2023-08-12 00:00:00+00:00,17
2023-08-15 00:00:00+00:00,19
2023-08-16 00:00:00+00:00,21
2023-08-17 00:00:00+00:00,23
2023-08-18 00:00:00+00:00,24
2023-08-20 00:00:00+00:00,27
2023-08-21 00:00:00+00:00,30
2023-08-22 00:00:00+00:00,31
2023-08-23 00:00:00+00:00,33
2023-08-24 00:00:00+00:00,35
2023-08-25 00:00:00+00:00,36
2023-08-27 00:00:00+00:00,37
2023-08-28 00:00:00+00:00,39
2023-08-30 00:00:00+00:00,41
2023-09-02 00:00:00+00:00,43
2023-09-04 00:00:00+00:00,44
2023-09-05 00:00:00+00:00,46
2023-09-06 00:00:00+00:00,49
2023-09-09 00:00:00+00:00,50
2023-09-12 00:00:00+00:00,52
2023-09-13 00:00:00+00:00,53
2023-09-14 00:00:00+00:00,54
2023-09-15 00:00:00+00:00,56
2023-09-17 00:00:00+00:00,57
2023-09-18 00:00:00+00:00,59
2023-09-19 00:00:00+00:00,68
2023-09-20 00:00:00+00:00,75
2023-09-21 00:00:00+00:00,83
2023-09-22 00:00:00+00:00,84
2023-09-23 00:00:00+00:00,85
2023-09-24 00:00:00+00:00,88
2023-09-26 00:00:00+00:00,89
2023-09-27 00:00:00+00:00,92
2023-09-28 00:00:00+00:00,97
2023-09-29 00:00:00+00:00,106
2023-09-30 00:00:00+00:00,109
2023-10-01 00:00:00+00:00,111
2023-10-03 00:00:00+00:00,114
2023-10-04 00:00:00+00:00,122
2023-10-05 00:00:00+00:00,125
2023-10-06 00:00:00+00:00,129
2023-10-07 00:00:00+00:00,132
2023-10-08 00:00:00+00:00,133
2023-10-09 00:00:00+00:00,136
2023-10-10 00:00:00+00:00,142
2023-10-11 00:00:00+00:00,144
2023-10-12 00:00:00+00:00,147
2023-10-13 00:00:00+00:00,149
2023-10-14 00:00:00+00:00,151
2023-10-15 00:00:00+00:00,153
2023-10-16 00:00:00+00:00,155
2023-10-17 00:00:00+00:00,158
2023-10-18 00:00:00+00:00,161
2023-10-19 00:00:00+00:00,163
2023-10-20 00:00:00+00:00,166
2023-10-21 00:00:00+00:00,170
2023-10-22 00:00:00+00:00,171
2023-10-23 00:00:00+00:00,172
2023-10-24 00:00:00+00:00,177
2023-10-25 00:00:00+00:00,181
2023-10-26 00:00:00+00:00,191
2023-10-27 00:00:00+00:00,200
2023-10-28 00:00:00+00:00,203
2023-10-29 00:00:00+00:00,223
2023-10-30 00:00:00+00:00,236
2023-10-31 00:00:00+00:00,238
2023-11-01 00:00:00+00:00,241
2023-11-02 00:00:00+00:00,253
2023-11-03 00:00:00+00:00,260
2023-11-04 00:00:00+00:00,264
2023-11-05 00:00:00+00:00,265
2023-11-06 00:00:00+00:00,286
2023-11-07 00:00:00+00:00,293
2023-11-08 00:00:00+00:00,300
2023-11-09 00:00:00+00:00,304
2023-11-10 00:00:00+00:00,309
2023-11-11 00:00:00+00:00,320
2023-11-12 00:00:00+00:00,323
2023-11-13 00:00:00+00:00,326
2023-11-14 00:00:00+00:00,333
2023-11-15 00:00:00+00:00,335
2023-11-16 00:00:00+00:00,338
2023-11-18 00:00:00+00:00,339
