time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,70,20,167,30
2025-01-31 00:00:00+00:00,42,16,165,51
2025-02-01 00:00:00+00:00,24,11,90,31
2025-02-02 00:00:00+00:00,20,7,86,34
2025-02-03 00:00:00+00:00,54,10,154,42
2025-02-04 00:00:00+00:00,8,6,105,46
2025-02-05 00:00:00+00:00,20,12,100,50
2025-02-06 00:00:00+00:00,20,11,89,45
2025-02-07 00:00:00+00:00,15,5,123,45
2025-02-08 00:00:00+00:00,39,7,125,20
2025-02-09 00:00:00+00:00,1,1,43,26
2025-02-10 00:00:00+00:00,22,12,123,49
2025-02-11 00:00:00+00:00,95,13,179,45
2025-02-12 00:00:00+00:00,9,6,87,43
2025-02-13 00:00:00+00:00,12,9,115,32
2025-02-14 00:00:00+00:00,91,5,152,48
2025-02-15 00:00:00+00:00,8,6,50,27
2025-02-16 00:00:00+00:00,6,4,108,31
2025-02-17 00:00:00+00:00,36,6,287,44
2025-02-18 00:00:00+00:00,65,9,194,46
2025-02-19 00:00:00+00:00,79,6,210,47
2025-02-20 00:00:00+00:00,30,4,201,56
2025-02-21 00:00:00+00:00,98,14,374,58
2025-02-22 00:00:00+00:00,19,10,51,28
2025-02-23 00:00:00+00:00,59,5,72,31
2025-02-24 00:00:00+00:00,357,12,289,61
2025-02-25 00:00:00+00:00,16,10,174,73
2025-02-26 00:00:00+00:00,10,6,128,58
2025-02-27 00:00:00+00:00,28,10,126,62
2025-02-28 00:00:00+00:00,6,2,126,54
2025-03-01 00:00:00+00:00,9,6,62,27
2025-03-02 00:00:00+00:00,13,9,56,28
2025-03-03 00:00:00+00:00,53,9,184,64
2025-03-04 00:00:00+00:00,93,41,186,53
2025-03-05 00:00:00+00:00,43,17,158,47
2025-03-06 00:00:00+00:00,65,19,203,54
2025-03-07 00:00:00+00:00,14,7,231,33
2025-03-08 00:00:00+00:00,1,1,38,26
